,id,text,labels,mult_model,rus_ner_model,roberta_large,spacy,gpt,gpt4
10,2209,"Презентация книги Екатерины Асмус ""Рок"". [дом книги]","[[18, 33, 'PERSON']]","[(18, 38, 'PERSON')]","[(18, 34, 'PER')]","[[18, 33, 'PER']]","[[18, 33, 'PER'], [35, 38, 'ORG']]","[(18, 33, 'PERSON')]","[(18, 33, 'PERSON')]"
11,2210,ИЛЬЯ СТОГОFF: встреча с известным петербургским писателем.,"[[0, 12, 'PERSON']]","[(0, 5, 'PERSON'), (34, 48, 'GPE')]","[(0, 14, 'PER')]","[[0, 12, 'PER'], [34, 43, 'LOC']]","[[5, 12, 'ORG']]","[(0, 12, 'PERSON')]","[(0, 12, 'PERSON')]"
12,2211,"1 ноября в ЦВЗ Манеж в программе Международного фестиваля современного искусства ""УРОВЕНЬ МОРЯ"" открывается 1 Фестиваль актуальной поэзии имени В.Кривулина. Презентация антологии ""АКТуальная поэзия на Пушкинской, 10"", читают авторы, публиковавшиеся в АКТе и принимавшие участие в АКТуальных чтениях. ПРИГЛАШАЮТСЯ ВСЕЮ, КТО ПУБЛИКОВАЛСЯ В ""АКТе"" и участвовал в вечерах ""АКТа"". (презентация с чтениями поэтов - антология «Актуальная поэзия на «Пушкинской-10», составители: Т. Буковская, В. Мишин, В. Земских. Антология посвящена современной русской актуальной поэзии, которая сформировалась в трудные годы для русской культуры во второй половине XX века.) Чтения приглашенных гостей: С.Зиневич, И.Дежнева/Украина/, С.Шигол/Израиль/. Презентация книги Кари Унксовой.","[[144, 155, 'PERSON'], [471, 483, 'PERSON'], [485, 493, 'PERSON'], [495, 505, 'PERSON'], [682, 691, 'PERSON'], [693, 702, 'PERSON'], [713, 720, 'PERSON'], [749, 762, 'PERSON']]","[(0, 9, 'DATE'), (11, 21, 'GPE'), (33, 96, 'EVENT'), (108, 138, 'EVENT'), (144, 157, 'PERSON'), (180, 215, 'WORK_OF_ART'), (369, 374, 'EVENT'), (420, 456, 'WORK_OF_ART'), (471, 483, 'PERSON'), (485, 493, 'PERSON'), (495, 507, 'PERSON'), (628, 652, 'DATE'), (682, 691, 'PERSON'), (693, 702, 'PERSON'), (703, 710, 'GPE'), (713, 720, 'PERSON'), (721, 728, 'GPE'), (749, 762, 'PERSON')]","[(11, 21, 'ORG'), (749, 762, 'PER')]","[[11, 20, 'ORG'], [33, 95, 'ORG'], [110, 255, 'ORG'], [471, 483, 'PER'], [485, 493, 'PER'], [495, 505, 'PER'], [682, 691, 'PER'], [693, 702, 'PER'], [703, 710, 'LOC'], [713, 720, 'PER'], [721, 728, 'LOC'], [749, 762, 'PER']]","[[0, 8, 'DATE'], [11, 20, 'ORG'], [90, 94, 'BOMB'], [201, 211, 'LOC'], [313, 317, 'BOMB'], [369, 373, 'ORG'], [644, 651, 'DATE'], [654, 660, 'PER'], [682, 691, 'PER'], [693, 702, 'PER'], [749, 762, 'PER']]","[(144, 155, 'PERSON'), (471, 483, 'PERSON'), (485, 493, 'PERSON'), (495, 505, 'PERSON'), (682, 691, 'PERSON'), (693, 702, 'PERSON'), (713, 720, 'PERSON'), (749, 762, 'PERSON')]","[(471, 483, 'PERSON'), (485, 493, 'PERSON'), (495, 505, 'PERSON'), (682, 691, 'PERSON'), (693, 702, 'PERSON'), (713, 720, 'PERSON'), (749, 762, 'PERSON')]"
13,2212,Презентация книги Николая Сотникова «Я тоже родом из блокады»,"[[18, 35, 'PERSON']]","[(18, 36, 'PERSON')]","[(18, 36, 'PER')]","[[18, 35, 'PER']]","[[18, 35, 'PER']]","[(18, 35, 'PERSON')]","[(18, 35, 'PERSON')]"
14,2213,"Литературный вечер журнала «Окно»: творческий вечер Веры Бурдиной, представление новой книги «Яблоки грома». [домпис]","[[52, 65, 'PERSON']]","[(27, 33, 'WORK_OF_ART'), (52, 65, 'PERSON'), (93, 107, 'WORK_OF_ART')]","[(52, 65, 'PER')]","[[52, 65, 'PER']]","[[28, 32, 'ORG'], [52, 65, 'PER']]","[(52, 65, 'PERSON')]","[(52, 65, 'PERSON')]"
15,2214,"Фестиваль ""Петербургские мосты"". Финал международного поэтического конкурса им. Н.Гумилёва «Заблудившийся трамвай»-2013. [петмосты]","[[80, 90, 'PERSON']]","[(10, 31, 'EVENT'), (80, 91, 'PERSON'), (92, 114, 'WORK_OF_ART'), (115, 119, 'DATE')]","[(76, 91, 'ORG')]","[[0, 90, 'ORG']]",[],"[(80, 90, 'PERSON')]",[]
16,2215,"Презентация книги Инго Шульце ""33 мгновения счастья. Записки немцев о приключениях в Питере"" (русское издание, СПб: Издательство им. Н.И.Новикова, 2000). При поддержке Гёте-Института.","[[18, 29, 'PERSON']]","[(18, 30, 'PERSON'), (31, 53, 'WORK_OF_ART'), (61, 68, 'NORP'), (85, 91, 'GPE'), (111, 116, 'GPE'), (116, 145, 'ORG'), (147, 151, 'DATE'), (168, 182, 'ORG')]","[(18, 30, 'PER'), (116, 145, 'ORG')]","[[18, 29, 'PER'], [111, 115, 'ORG'], [116, 146, 'ORG'], [168, 182, 'ORG']]","[[18, 29, 'PER'], [111, 115, 'DATE'], [168, 182, 'PER']]","[(18, 29, 'PERSON'), (133, 145, 'PERSON')]","[(18, 29, 'PERSON')]"
17,2216,"Читательский клуб «Культурная столица», издательство «Крига» Презентация книги Ирины Муравьевой «Жизнь Владислава Ходасевича» (СПб.: издательство «Крига», 2013). Книга Ирины Муравьевой «Жизнь Владислава Ходасевича» повествует о короткой и непростой жизни выдающегося русского поэта, прозаика и публициста Владислава Ходасевича и рассматривает некоторые аспекты его творчества. Большую часть своей жизни Ходасевич прожил в России, но в 1922 году эмигрировал и жил главным образом в Париже, где умер и похоронен в 1939 году. В книге широко использованы архивные материалы, хранящиеся в фонде Ходасевича в РГАЛИ: его переписка, неопубликованные прозаические наброски; а также опубликованная переписка. Автор стремился создать образ человека ярко талантливого и остроумного, болезненного, ранимого, достигшего в поэзии высокого совершенства и в конце концов переставшего писать стихи. Ирина Аркадьевна Муравьева – журналист, писатель и редактор отдела публицистики журнала «Звезда», в прошлом научный сотрудник музея Анны Ахматовой в Фонтанном Доме, автор сценария документального телевизионного фильма «Реквием». Публиковалась в журналах «Звезда», «Нева», «Аврора». Ведет вечер Андрей Арьев. [музей]","[[79, 95, 'PERSON'], [168, 184, 'PERSON'], [305, 326, 'PERSON'], [403, 412, 'PERSON'], [590, 600, 'PERSON'], [881, 907, 'PERSON'], [1175, 1187, 'PERSON'], [1013, 1027, 'PERSON']]","[(0, 38, 'ORG'), (53, 54, 'ORG'), (54, 61, 'ORG'), (79, 96, 'PERSON'), (97, 124, 'WORK_OF_ART'), (127, 133, 'GPE'), (147, 153, 'ORG'), (155, 159, 'DATE'), (168, 185, 'PERSON'), (186, 215, 'WORK_OF_ART'), (267, 276, 'NORP'), (305, 327, 'PERSON'), (403, 413, 'PERSON'), (422, 428, 'GPE'), (435, 445, 'DATE'), (481, 487, 'GPE'), (512, 523, 'DATE'), (590, 601, 'PERSON'), (603, 610, 'ORG'), (881, 908, 'PERSON'), (969, 970, 'ORG'), (970, 977, 'ORG'), (1013, 1028, 'ORG'), (1030, 1044, 'FAC'), (1100, 1108, 'WORK_OF_ART'), (1136, 1143, 'ORG'), (1146, 1151, 'ORG'), (1154, 1161, 'ORG'), (1175, 1189, 'PERSON')]","[(19, 37, 'ORG'), (79, 96, 'PER'), (168, 185, 'PER'), (305, 327, 'PER'), (881, 908, 'PER'), (1013, 1028, 'PER'), (1030, 1044, 'ORG'), (1175, 1189, 'PER')]","[[0, 37, 'ORG'], [127, 129, 'LOC'], [305, 326, 'PER'], [422, 428, 'LOC'], [481, 487, 'LOC'], [603, 608, 'ORG'], [881, 894, 'PER'], [1007, 1027, 'ORG'], [1030, 1150, 'ORG'], [1153, 1160, 'ORG'], [1175, 1187, 'PER']]","[[0, 37, 'ORG'], [79, 95, 'PER'], [103, 124, 'PER'], [147, 152, 'ORG'], [155, 160, 'DATE'], [168, 184, 'PER'], [192, 213, 'PER'], [305, 326, 'PER'], [403, 412, 'PER'], [422, 428, 'LOC'], [435, 444, 'DATE'], [481, 487, 'LOC'], [512, 521, 'DATE'], [590, 600, 'PER'], [603, 608, 'ORG'], [881, 907, 'PER'], [970, 976, 'ORG'], [1013, 1027, 'PER'], [1030, 1044, 'LOC'], [1146, 1150, 'PER'], [1154, 1160, 'ORG'], [1175, 1187, 'PER']]","[(79, 95, 'PERSON'), (103, 124, 'PERSON'), (881, 907, 'PERSON'), (1175, 1187, 'PERSON')]","[(79, 95, 'PERSON'), (103, 124, 'PERSON'), (881, 907, 'PERSON'), (1175, 1187, 'PERSON')]"
18,2217,В рамках выставки «Максим Винавер. Пора возвращаться домой…». Спектакль по пьесе Максима Винавера «11 сентября». [музей],"[[81, 97, 'PERSON']]","[(19, 59, 'WORK_OF_ART'), (81, 98, 'PERSON'), (99, 111, 'WORK_OF_ART')]","[(19, 35, 'PER'), (81, 98, 'PER')]","[[81, 97, 'PER']]","[[19, 33, 'PER'], [81, 97, 'PER'], [99, 110, 'DATE']]","[(81, 97, 'PERSON')]","[(81, 97, 'PERSON')]"
19,2218,"Презентация книги Юлии Андреевой ""Ближнее море"". Это особенная книга, кроме меня у нее много авторов. Людей, которые давали интервью, предоставляли редкие фотографии, трудились над оформлением книги. Дмитрий Григорьев, Арсен Мирзаев, Андрей Балабуха, Г.Л.Олди, Анастасия Нелюбина, Дмитрий Вересов, О'Санчес, Александр Смир и многие, многие другие. Посмотрите на список участников ближе к презентации, уверена, Вы обнаружите в нем весьма интересные имена. [Жук, Ю.Андреева]","[[18, 32, 'PERSON'], [200, 217, 'PERSON'], [219, 232, 'PERSON'], [234, 249, 'PERSON'], [251, 259, 'PERSON'], [261, 279, 'PERSON'], [281, 296, 'PERSON'], [298, 306, 'PERSON'], [308, 322, 'PERSON'], [461, 471, 'PERSON']]","[(18, 33, 'PERSON'), (34, 47, 'WORK_OF_ART'), (200, 217, 'PERSON'), (219, 232, 'PERSON'), (234, 249, 'PERSON'), (251, 259, 'PERSON'), (261, 279, 'PERSON'), (281, 296, 'PERSON'), (298, 306, 'PERSON'), (308, 323, 'PERSON'), (456, 459, 'PERSON'), (461, 471, 'PERSON')]","[(18, 33, 'PER'), (200, 217, 'PER'), (219, 232, 'PER'), (234, 249, 'PER'), (251, 259, 'PER'), (261, 279, 'PER'), (281, 296, 'PER'), (308, 323, 'PER')]","[[18, 32, 'PER'], [200, 217, 'PER'], [219, 232, 'PER'], [234, 249, 'PER'], [251, 259, 'PER'], [261, 279, 'PER'], [281, 296, 'PER'], [298, 306, 'PER'], [308, 322, 'PER']]","[[18, 32, 'PER'], [200, 217, 'PER'], [219, 232, 'PER'], [234, 249, 'PER'], [251, 259, 'BOMB'], [261, 279, 'PER'], [281, 296, 'PER'], [308, 322, 'PER'], [461, 471, 'PER']]","[(18, 32, 'PERSON'), (200, 217, 'PERSON'), (219, 232, 'PERSON'), (234, 249, 'PERSON'), (251, 259, 'PERSON'), (261, 279, 'PERSON'), (281, 296, 'PERSON'), (298, 306, 'PERSON'), (308, 322, 'PERSON')]","[(18, 32, 'PERSON'), (200, 217, 'PERSON'), (219, 232, 'PERSON'), (234, 249, 'PERSON'), (251, 259, 'PERSON'), (261, 279, 'PERSON'), (281, 296, 'PERSON'), (298, 306, 'PERSON'), (308, 322, 'PERSON')]"
20,2219,"Встреча с Баиром Иринчеевым. Баир Иринчеев историк, специалист по советско-финской и Великой Отечественной войнам, краевед. «На Ленинград» и «Гибель дворцов» уникальные альбомы фотографий, собранных в личных архивах немецких военнослужащих, участвовавших в битве за Ленинград. Впервые публикуются в России. Автором была проделана многолетняя работа по сбору и атрибутированию данных фото. Книги позволяют впервые взглянуть на великое сражение глазами врага, а также дают ответы на многие, связанные с ним, вопросы. [буквоед]","[[10, 27, 'PERSON'], [29, 42, 'PERSON']]","[(10, 29, 'PERSON'), (29, 43, 'PERSON'), (66, 74, 'NORP'), (75, 83, 'NORP'), (85, 113, 'EVENT'), (124, 139, 'WORK_OF_ART'), (141, 158, 'WORK_OF_ART'), (216, 225, 'NORP'), (257, 263, 'EVENT'), (266, 277, 'GPE'), (299, 307, 'GPE')]","[(10, 29, 'PER'), (29, 43, 'PER')]","[[10, 27, 'PER'], [29, 42, 'PER'], [66, 82, 'ORG'], [85, 275, 'ORG'], [299, 305, 'LOC']]","[[10, 27, 'PER'], [29, 42, 'PER'], [128, 137, 'ORG'], [266, 275, 'LOC'], [299, 305, 'LOC']]","[(10, 27, 'PERSON'), (29, 42, 'PERSON')]","[(10, 27, 'PERSON'), (29, 42, 'PERSON')]"
21,2220,"""Невинные слабости"": книга Лидии Чередеевой. внезапно стихи! - выходит пятая книга серии, основанной ""Своим издательством"" и ""Майским фестивалем новых поэтов"". внезапно вечер! - очередная презентация очередной книги серии ""Внезапно стихи!"" в магазине ""Свои книги"" (1-я линия В. О., д. 42) 15 июля в 20:00. внезапно халява! - книга на презентации раздается бесплатно. внезапно программа! - Лидия Чередеева представит созданный специально для презентации цикл ""Ч-46"". [свои книги]","[[27, 43, 'PERSON'], [389, 404, 'PERSON']]","[(1, 18, 'WORK_OF_ART'), (27, 45, 'PERSON'), (71, 77, 'ORDINAL'), (102, 123, 'WORK_OF_ART'), (126, 158, 'EVENT'), (169, 174, 'TIME'), (223, 237, 'WORK_OF_ART'), (252, 262, 'WORK_OF_ART'), (265, 266, 'CARDINAL'), (275, 278, 'GPE'), (278, 280, 'GPE'), (285, 287, 'CARDINAL'), (289, 297, 'DATE'), (299, 306, 'TIME'), (389, 405, 'PERSON'), (459, 464, 'WORK_OF_ART')]","[(27, 45, 'PER'), (102, 121, 'ORG'), (252, 262, 'ORG'), (389, 405, 'PER')]","[[27, 43, 'PER'], [101, 122, 'ORG'], [125, 263, 'ORG'], [264, 288, 'ORG'], [389, 404, 'PER']]","[[27, 43, 'PER'], [265, 280, 'DATE'], [289, 296, 'DATE'], [389, 404, 'PER']]","[(27, 43, 'PERSON'), (389, 404, 'PERSON')]","[(27, 43, 'PERSON'), (389, 404, 'PERSON')]"
22,2221,"Встреча с писательницей Сюзанной Кулешовой Презентация книги «Последний глоток божоле на двоих». Кулешова Сюзанна Марковна, член Союза писателей Санкт-Петербурга. Закончила Горный институт, работала палеонтологом, педагогом, редактором. Первая публикация в газете «Ленинские искры». [буквоед]","[[24, 42, 'PERSON'], [97, 122, 'PERSON']]","[(24, 43, 'PERSON'), (61, 95, 'WORK_OF_ART'), (97, 106, 'PERSON'), (106, 122, 'PERSON'), (129, 163, 'ORG'), (173, 188, 'ORG'), (264, 265, 'ORG'), (265, 281, 'ORG')]","[(24, 43, 'PER'), (97, 122, 'PER'), (129, 145, 'ORG'), (173, 188, 'ORG'), (265, 280, 'ORG')]","[[24, 42, 'PER'], [97, 122, 'PER'], [129, 161, 'ORG'], [173, 188, 'ORG'], [264, 280, 'ORG']]","[[106, 122, 'PER'], [129, 144, 'ORG'], [145, 161, 'LOC'], [173, 188, 'ORG'], [265, 280, 'ORG']]","[(24, 42, 'PERSON'), (97, 122, 'PERSON')]","[(24, 42, 'PERSON'), (97, 122, 'PERSON')]"
